"id","kod","isim","hacim","cinsi","ucret"
101,5449000147042,"CAPPY MEYVE SUYU 330 ML PULPLY PORTAKAL","0.33","PLASTIC","0.3454784360883666"
102,90491788,"CAPPY MEYVE SUYU 330 ML PULPY LIMON","0.33","PLASTIC","0.8122568274672072"
103,5449000021588,"CAPPY MEYVE SUYU 330 ML SEFTALI","0.33","METAL","0.8510501538876889"
104,5449000021564,"CAPPY MEYVE SUYU 330 ML VISNE","0.33","METAL","0.9541561681162206"
105,5449000188458,"CAPPY MEYVE SUYU KARADUTUM 1 LT","1","PLASTIC","0.4241916038200312"
106,5449000119902,"CAPPY MEYVE SUYU VISNELIM 1 LT","1","PLASTIC","0.992440265377543"
107,5449000188328,"CAPPY MEYVE TANEM 1 LT KARISIK","1","PLASTIC","0.47302134056900413"
108,5449000186218,"CAPPY MEYVE TANEM 1 LT SEFTALI","1","PLASTIC","0.4624108649512435"
109,90399510,"CAPPY MEYVE TANEM 330 ML KARISIK","0.33","METAL","0.00004174797995482038"
110,90399244,"CAPPY MEYVE TANEM 330 ML SEFTALI","0.33","METAL","0.8752148526147043"
111,5449000176097,"CAPPY RAMAZAN SERBETI 1 LT","1","PLASTIC","0.06183146664293848"
112,90331985,"CAPPY SEFTALI 250 ML GLASS SISE","0.25","GLASS","0.8169665298643222"
113,8690582722401,"CARLSBERG BİRA","0.5","METAL","0.8893665778973147"
114,8690582723200,"CARLSBERG ŞİŞE 330 CL","0.33","GLASS","0.7310737734092329"
115,8690582721404,"CARLSBERG ŞİŞE 50 CL","0.5","GLASS","0.706085010420833"
116,8690288001541,"CAYIROVA AYRAN 1 LT","1","PLASTIC","0.7382587686078507"
117,8690105003758,"CAYKUR DIDI 1.5 LT LIMON","1.5","PLASTIC","0.07173155955608412"
118,8690105003734,"CAYKUR DIDI 1.5LT BERGAMOT","1.5","PLASTIC","0.7686039729564816"
119,8690105003772,"CAYKUR DIDI 1.5LT SEFTALI","1.5","PLASTIC","0.2798234794128849"
120,8690105003918,"CAYKUR DIDI 200 ML SEFTALI AROMALI","0.2","METAL","0.7739138993621959"
121,8690105006247,"CAYKUR DIDI 250 ML LIMON","0.25","METAL","0.9654128851729354"
122,8690105006209,"CAYKUR DIDI 250 ML SEFTALI","0.25","METAL","0.7168289889289241"
123,8691020683117,"CAYKUR DIDI 4X500 ML LIMON AROMALI ICECEK","4x0,5","METAL","0.9269196406712207"
124,8691020675624,"CAYKUR DIDI 500 ML BERGAMUT","0.5","METAL","0.9027131028902509"
125,8691020675600,"CAYKUR DIDI 500 ML LIMON","0.5","METAL","0.6137915831231703"
126,8691020675617,"CAYKUR DIDI 500 ML SEFTALI","0.5","METAL","0.793084428995308"
127,8690105003895,"CAYKUR DIDI BERGAMOT 1 LT","1","PLASTIC","0.7013020446083308"
128,8690105004724,"CAYKUR DIDI ICE TEA PEACH 500ML","0.5","METAL","0.916890020265279"
129,8690105003871,"CAYKUR DIDI LIMON 1 LT","1","PLASTIC","0.7951152598694058"
130,8691020683025,"CAYKUR DIDI LIMON 12*500 ML","12x0,5","METAL","0.7719011780364119"
131,8691020683018,"CAYKUR DIDI SEFTALI 12*500 ML","12x0,5","METAL","0.7481003254155862"
132,8690105003857,"CAYKUR DIDI SEFTALI 1LT","1","PLASTIC","0.8793660513545065"
133,8690105006643,"CAYKUR DIDI SEKERSIZ BERGAMOT 250 ML","0.25","PLASTIC","0.14150523061742992"
134,8690105003796,"CAYKUR DIDI SEKERSIZ BERGAMOT 500 ML","0.5","METAL","0.9207477190413853"
135,8690105006650,"CAYKUR DIDI SEKERSIZ SEFTALI 250 ML","0.25","PLASTIC","0.8642110027633297"
136,8690105003833,"CAYKUR DIDI SEKERSIZ SEFTALI 500 ML","0.5","METAL","0.3427505957675846"
137,8690105006223,"CAYKUR MINI DIDI 250ML BERGAMOT","0.25","PLASTIC","0.5325840235064944"
138,8691020683803,"CAYKUR MINI DIDI 250ml ÇILEK","0.25","PLASTIC","0.9630051817320466"
139,8691020683711,"CAYKUR MINI DIDI 250ML LIMON","0.25","PLASTIC","0.2958587207066502"
140,8691020683704,"CAYKUR MINI DIDI 250ML SEFTALI","0.25","PLASTIC","0.5482070521832202"
141,5449000054227,"COCA COLA 1 LT","1","PLASTIC","0.5109554746561391"
142,5449000016560,"COCA COLA 1 LT LIGHT","1","PLASTIC","0.05903186679900907"
143,5449000133328,"COCA COLA 1 LT ZERO","1","PLASTIC","0.5881894169344535"
144,5449000130389,"COCA COLA 1,75L","1.75","PLASTIC","0.6426370400785891"
145,5449000000439,"COCA COLA 1.5 LT","1.5","PLASTIC","0.9844733272584303"
146,5449000050212,"COCA COLA 1.5 LT LIGHT","1.5","PLASTIC","0.5973863216678815"
147,5449000133335,"COCA COLA 1.5 LT ZERO","1.5","PLASTIC","0.6308667716653492"
148,5449000050533,"COCA COLA 1LT PLASTIC","1","PLASTIC","0.9969677788417457"
149,5449000020024,"COCA COLA 1LTX4","4x1","PLASTIC","0.44290483364172695"
150,5449000131843,"COCA COLA 2 LT ZERO","2","PLASTIC","0.9846266942659255"
151,54491274,"COCA COLA 200 ML LIGHT SISE","0.2","GLASS","0.4367482619438382"
152,90490569,"COCA COLA 200 ML PLASTİK","0.2","PLASTIC","0.3268430860034336"
153,54491250,"COCA COLA 200 ML SISE","0.2","GLASS","0.3629152660267795"
154,90357725,"COCA COLA 200 ML ZERO SISE","0.2","GLASS","0.529517312139588"
155,5449000011114,"COCA COLA 200ML","0.2","METAL","0.6262243577271968"
